,userId,2_pagerank,2_triangle_count,2_core_id,2_color_id,2_component_id,2_component_size,2_out_degree,2_in_degree
4387,5379701,0.164417,0,2,0,654110,982462,0,2
6806,3291810,1.81513,87,10,1,654110,982462,14,74
16792,4517320,1.7752299999999999,87,10,4,654110,982462,27,49
49900,5599411,0.21375,0,1,0,49900,3,0,1
124780,1464982,1.90785,0,10,3,654110,982462,55,66
147955,1771061,1.41204,1,10,1,654110,982462,40,26
148369,1766593,0.645424,0,10,4,654110,982462,0,25
154588,4873898,0.46091800000000005,0,10,0,654110,982462,4,17
158186,2601451,0.361105,0,5,3,654110,982462,2,5
162955,3491545,0.26087,10,10,0,654110,982462,20,10
173610,1264503,8.83646,118,10,9,654110,982462,312,410
178263,902359,0.46133100000000005,0,4,1,654110,982462,0,5
188862,316982,1.19477,0,10,6,654110,982462,264,64
226144,5168233,0.2775,0,1,1,226144,2,0,1
287091,2120554,0.1755,0,1,1,1299235,6,0,1
300635,4353958,0.365533,0,2,1,300635,3,3,1
312287,2234529,0.758115,0,5,2,654110,982462,0,13
323445,1405452,2.0866,13,10,6,654110,982462,70,64
334187,4630531,3.11151,0,10,2,654110,982462,18,40
365220,2037473,1.76918,90,10,2,654110,982462,32,51
377372,376,0.15,0,2,1,654110,982462,3,0
379608,2511197,1.32243,8,10,3,654110,982462,25,58
385282,3738621,0.167517,0,1,0,654110,982462,0,1
394405,321127,0.6241939999999999,6,10,5,654110,982462,28,26
395212,1484693,0.23935,0,5,2,654110,982462,0,5
401356,3756431,0.516904,0,2,0,654110,982462,0,2
419867,3525772,0.580719,7,10,1,654110,982462,20,15
487454,3564507,0.41571800000000003,0,2,1,654110,982462,0,6
497941,3205387,0.18850799999999998,0,2,0,654110,982462,1,1
498470,415,0.593905,0,10,1,654110,982462,23,17
546921,5150654,0.441346,0,10,0,654110,982462,0,18
559526,278667,0.27209099999999997,0,3,0,654110,982462,0,6
569226,4916848,2.23897,27,10,5,654110,982462,135,77
576060,4948604,0.759536,0,10,1,654110,982462,25,7
580423,504,0.31654499999999997,2,10,0,654110,982462,26,7
580516,47,0.6181810000000001,0,10,0,654110,982462,3,15
581320,4799862,0.330928,0,10,0,654110,982462,0,11
632165,2999027,1.36227,64,10,0,654110,982462,24,45
670467,3335900,0.1755,0,1,0,654110,982462,0,1
671549,2976028,8.29481,2,10,3,654110,982462,47,168
702909,3904460,0.15423199999999998,0,1,0,654110,982462,0,1
703273,3897251,0.827968,0,10,2,654110,982462,27,23
703363,3895523,0.331273,0,10,0,654110,982462,0,12
708738,3002173,0.586861,0,3,1,654110,982462,0,3
717552,3197072,2.4904599999999997,49,10,3,654110,982462,74,89
726299,584571,0.776215,8,10,0,654110,982462,30,28
729036,3893538,0.28239200000000003,0,5,0,654110,982462,0,6
746406,3808830,0.171666,0,3,0,654110,982462,0,3
763900,2789544,2.67463,63,10,1,654110,982462,63,82
765888,2990733,0.165954,0,1,1,654110,982462,0,1
785928,5392394,0.37517399999999995,0,7,1,654110,982462,7,3
820125,4531661,0.45822799999999997,0,7,2,654110,982462,3,6
889576,2878180,6.7526,34,10,4,654110,982462,2,110
889987,2873364,0.347179,12,10,1,654110,982462,26,11
892561,605059,1.9590900000000002,0,10,3,654110,982462,38,86
893739,2090253,2.12995,0,5,1,654110,982462,3,2
896056,2065737,30.4182,2799,10,6,654110,982462,1105,5247
903234,3013094,7.24105,0,10,2,654110,982462,25,367
912720,2783388,1.54203,3,10,3,654110,982462,76,56
916467,986035,0.361369,0,10,0,654110,982462,33,10
923798,2828612,0.284246,0,7,1,654110,982462,3,6
926198,1648415,1.63609,0,10,4,654110,982462,45,79
930154,4885769,0.571865,0,5,0,654110,982462,0,10
936100,624,0.785213,0,10,4,654110,982462,18,13
971492,4783409,0.553715,0,10,0,654110,982462,19,34
975253,1078266,0.2775,0,1,1,975253,3,1,1
977437,2550792,0.44286099999999995,0,10,1,654110,982462,5,13
991422,1468935,0.1755,0,1,1,1299235,6,0,1
1024150,4469232,0.422047,5,10,0,654110,982462,18,17
1038033,2097297,2.72038,42,10,2,654110,982462,432,160
1041167,3452981,0.69995,0,5,2,654110,982462,0,12
1057502,1174578,1.5265,103,10,0,654110,982462,86,59
1060759,639977,0.596101,0,10,2,654110,982462,17,12
1145667,1193189,0.220279,0,1,0,654110,982462,1,1
1155780,2832920,2.02908,35,10,6,654110,982462,99,89
1159920,320,0.15,0,1,1,654110,982462,1,0
1167971,2584436,0.198933,0,1,0,654110,982462,0,1
1168482,2921778,2.08787,10,10,3,654110,982462,33,58
1173015,2545478,3.57591,13,10,2,654110,982462,24,79
1176644,2975953,0.231419,0,10,0,654110,982462,0,13
1185511,3211512,1887.85,31186,10,15,654110,982462,8,82066
1188942,5107884,0.694153,0,10,3,654110,982462,46,29
1229769,644,0.379894,0,8,0,654110,982462,7,4
1271452,2238114,4.99371,95,10,3,654110,982462,5,198
1271875,631,0.260792,0,2,0,654110,982462,1,1
1271893,571,1.23441,0,10,0,654110,982462,26,44
1271927,433,0.19753900000000002,0,4,1,654110,982462,2,2
1274493,160130,0.401064,0,10,1,654110,982462,13,11
1282491,648072,0.157209,0,1,0,654110,982462,0,1
1286250,4339842,0.936557,9,10,1,654110,982462,25,48
1294343,2232278,1.59932,25,10,4,654110,982462,31,59
1297889,154104,0.8967719999999999,6,10,1,654110,982462,75,29
1299235,1218627,0.1755,0,1,1,1299235,6,0,1
1351449,1314055,0.399383,0,7,3,654110,982462,4,5
1370448,225608,0.629736,2,10,0,654110,982462,24,21
1385351,407,0.378818,0,10,0,654110,982462,17,5
1403755,4589036,0.220279,0,1,0,654110,982462,0,1
1439414,5581803,1.47089,0,10,3,654110,982462,18,87
1448396,743361,1.15247,6,10,3,654110,982462,96,69
1463326,3740977,2.21644,18,10,7,654110,982462,143,94
1471245,3249392,13.632,14,10,3,654110,982462,78,124
1473094,3224401,0.570314,0,2,1,654110,982462,0,2
1480877,2199268,0.43731099999999995,0,10,1,654110,982462,6,8
1495908,4558404,3.8753699999999998,230,10,6,654110,982462,169,157
1547283,1474007,0.186587,0,2,0,654110,982462,0,2
1554635,4445247,0.1755,0,1,0,654110,982462,0,1
1562743,681474,10.8842,281,10,7,654110,982462,463,333
1564128,667645,0.43731099999999995,0,10,1,654110,982462,3,8
1564690,662176,0.281692,0,10,0,654110,982462,9,6
1567163,637234,0.414113,0,9,0,654110,982462,0,12
1568268,626402,16.465999999999998,689,10,12,654110,982462,546,618
1579700,340,0.15,0,3,1,654110,982462,4,0
1581844,5299090,0.180383,0,6,0,654110,982462,0,6
1588010,4642852,1.06597,7,10,0,654110,982462,12,15
1591199,3585698,0.47863100000000003,0,10,2,654110,982462,0,16
1596475,5038157,0.157209,0,1,0,654110,982462,0,1
1606635,5052877,6.563860000000001,701,10,10,654110,982462,367,259
1613423,124758,6.624460000000001,21,10,6,654110,982462,713,239
1634342,143,1.2605899999999999,0,10,2,654110,982462,39,43
1637819,4754667,0.962968,0,10,4,654110,982462,27,24
1659451,5516133,1.4305,14,10,3,654110,982462,54,50
1660335,1077015,0.722839,48,10,4,654110,982462,21,25
1694907,2383622,0.157209,0,1,0,654110,982462,0,1
1696824,4357876,0.391022,0,2,1,654110,982462,3,2
1698119,507353,0.203758,0,4,0,654110,982462,0,4
1706976,5476792,0.162697,1,6,2,654110,982462,3,3
1727944,5422411,1.3583100000000001,0,10,5,654110,982462,82,52
1735985,1760163,0.841175,0,7,3,654110,982462,0,15
1760259,2086114,0.382734,0,4,2,654110,982462,0,8
1807006,5607240,7.16856,17,10,1,654110,982462,48,159
1838612,4546022,0.497586,0,10,1,654110,982462,18,11
1845622,106,0.5926,7,10,0,654110,982462,24,16
1860326,2210363,0.766369,0,10,3,654110,982462,26,18
1871454,4057603,9.45099,362,10,10,654110,982462,711,287
1877136,2949336,0.581571,0,10,1,654110,982462,21,19
1878357,5470275,0.390837,0,4,2,654110,982462,0,9
1883767,1637139,4.871569999999999,123,10,0,654110,982462,14,94
1888296,2016903,0.36089699999999997,0,10,1,654110,982462,0,18
1906622,823754,0.7286,0,10,0,654110,982462,24,18
1907909,4234713,3.44806,19,10,0,654110,982462,35,126
1929640,1353233,0.437515,0,8,1,654110,982462,7,8
1939662,978620,12.1774,452,10,6,654110,982462,522,446
1954314,10522,0.752629,0,7,4,654110,982462,0,18
1998070,450,0.15,0,3,1,654110,982462,5,0
2011367,40,0.671383,22,10,3,654110,982462,14,15
2013131,669,0.15,0,1,0,654110,982462,1,0
2013163,563,0.15,0,1,1,49900,3,2,0
2013168,508,0.568144,0,10,1,654110,982462,7,18
2013222,278,1.26522,0,10,0,654110,982462,30,23
2013237,299,0.15,0,1,0,1299235,6,5,0
2013238,228,0.23126300000000002,0,9,0,654110,982462,6,4
2013252,206,0.21493600000000002,0,1,0,654110,982462,1,1
2013316,18,0.2775,0,1,1,654110,982462,1,1
2016109,345,1.13339,17,10,0,654110,982462,48,32
2038651,2867415,0.540891,0,5,1,654110,982462,1,8
2047516,1064327,0.5483020000000001,0,10,3,654110,982462,26,16
2060662,4136357,0.18850799999999998,0,1,0,654110,982462,0,1
2062521,1346919,0.266966,0,5,1,654110,982462,0,5
2077681,384,1.19392,7,10,1,654110,982462,15,20
2108495,889163,2.12042,17,10,2,654110,982462,90,101
2136396,5569935,0.538311,0,3,3,654110,982462,0,6
2153531,4798601,0.207375,0,2,1,654110,982462,0,2
2176289,1753819,1.7496599999999998,73,10,0,654110,982462,27,47
2188415,4998249,0.5693520000000001,0,4,3,654110,982462,0,11
2221143,2698206,0.436875,0,1,1,654110,982462,0,3
2230119,2499850,3.56261,159,10,9,654110,982462,111,117
2249685,5554563,10.6565,1700,10,3,654110,982462,210,415
2288508,798942,0.569801,0,10,3,654110,982462,8,9
2304765,170,0.15,0,6,0,654110,982462,6,0
2318661,1676511,7.05547,0,10,4,654110,982462,23,31
2321649,4197986,0.202578,0,4,0,654110,982462,0,4
2323082,3044490,1.41196,13,10,4,654110,982462,123,60
2347589,767706,0.46628000000000003,0,10,4,654110,982462,11,11
2356431,1758205,1.6682400000000002,73,10,3,654110,982462,22,49
2366184,3567353,0.174533,0,8,0,654110,982462,0,8
2381234,4101726,0.157209,0,1,0,654110,982462,0,1
2387702,5476049,8.65737,2,10,5,654110,982462,570,595
2422615,5058218,0.159113,0,1,0,654110,982462,0,1
2429206,4058227,0.162697,0,3,0,654110,982462,0,3
2432307,5395426,0.157209,0,1,0,654110,982462,0,1
2443841,5046752,11.4074,729,10,7,654110,982462,659,393
2444888,575891,9.284189999999999,12,10,8,654110,982462,313,343
2464548,2477500,1.55829,27,10,4,654110,982462,48,44
2472518,4960095,0.220279,0,1,0,654110,982462,0,1
2482004,5350829,0.196194,0,6,1,654110,982462,0,6
2484202,452,0.15,0,1,0,654110,982462,1,0
2490895,610,0.172688,0,2,1,654110,982462,3,1
2494883,548,0.15,0,1,0,4141039,2,1,0
2500536,1224729,3.7412400000000003,0,10,1,654110,982462,44,48
2529011,4254231,0.21580100000000002,0,10,2,654110,982462,12,6
2548111,53,0.644253,0,10,3,654110,982462,9,10
2559360,2110312,0.968801,0,10,2,654110,982462,23,33
2582426,5235805,0.274943,0,7,0,654110,982462,0,8
2604282,471355,0.181875,0,4,2,654110,982462,9,1
2612048,632239,0.253129,0,10,0,654110,982462,0,11
2634598,2308536,0.35528200000000004,0,10,1,654110,982462,16,9
2637928,5359268,0.181779,0,5,0,654110,982462,0,5
2639579,2542589,1.6796900000000001,59,10,7,654110,982462,54,68
2644552,46,0.205794,3,8,1,654110,982462,7,2
2651855,3012698,0.22095900000000002,0,5,1,654110,982462,0,5
2654620,4859097,3.16356,30,10,6,654110,982462,113,159
2667321,3107121,0.182336,0,4,0,654110,982462,0,4
2681305,718206,0.288003,0,4,0,654110,982462,1,3
2688965,2505670,0.200849,0,6,0,654110,982462,0,6
2692845,245766,0.284273,0,1,0,654110,982462,0,1
2694758,3144011,0.358141,0,9,0,654110,982462,0,11
2705747,528,0.21634,0,4,0,654110,982462,2,2
2705767,465,1.0416,0,10,1,654110,982462,23,6
2716995,4577755,6.72952,364,10,5,654110,982462,51,536
2719429,799131,2.07085,4,10,0,654110,982462,13,58
2737434,2224526,0.181875,0,1,0,654110,982462,2,1
2738150,216,0.31388499999999997,0,10,0,654110,982462,34,7
2738272,505064,2.85253,15,10,6,654110,982462,16,81
2740295,4810147,0.18503499999999998,0,4,1,654110,982462,3,2
2740550,1027342,6.450419999999999,50,10,4,654110,982462,212,255
2753660,430,0.22407,1,6,0,654110,982462,5,2
2761793,59,0.15,3,7,0,654110,982462,7,0
2777723,4761299,0.164417,0,4,1,654110,982462,3,2
2783500,249,0.414846,0,7,1,654110,982462,1,9
2785021,4339183,6.49052,88,10,1,654110,982462,65,153
2804001,3999473,11.4725,203,10,3,654110,982462,245,482
2827746,2398684,2.04097,64,10,4,654110,982462,51,45
2839077,84427,0.286613,0,1,0,654110,982462,0,2
2864515,4863834,1.15392,0,10,2,654110,982462,25,21
2876711,1982261,0.168226,0,2,0,654110,982462,0,2
2897553,1286203,0.157209,0,1,0,654110,982462,0,1
2907210,3795135,0.164596,0,1,0,654110,982462,0,1
2936743,3123773,0.546481,0,10,2,654110,982462,9,12
2957338,4155596,2.54806,28,10,0,654110,982462,111,85
2972481,582649,0.309075,0,9,2,654110,982462,0,9
2990034,5383759,7.47368,655,10,8,654110,982462,414,328
3012355,5566832,0.801203,0,10,1,654110,982462,41,22
3021993,2007907,0.167016,0,2,1,654110,982462,0,2
3023123,180638,0.407604,0,10,2,654110,982462,0,18
3053906,3076469,0.604627,2,9,0,654110,982462,3,6
3094394,2381117,0.202552,0,7,0,654110,982462,4,3
3103581,2254318,0.157209,0,1,0,654110,982462,0,1
3117279,2739521,0.8619979999999999,0,10,3,654110,982462,20,20
3118134,2733385,2.5512200000000003,8,10,1,654110,982462,47,85
3126063,156,0.15,0,1,0,975253,3,1,0
3132342,2259804,1.05102,12,10,3,654110,982462,28,36
3137772,3315180,1.82306,0,10,3,654110,982462,52,58
3142560,2665327,2.98544,41,10,2,654110,982462,83,89
3167809,3198006,14.6905,259,10,8,654110,982462,345,432
3180544,1217993,238.425,21,10,2,654110,982462,23,13897
3189835,2485233,0.43531400000000003,0,10,2,654110,982462,7,15
3212626,556,0.375287,0,10,0,654110,982462,20,9
3217773,4145532,0.37259200000000003,0,8,0,654110,982462,2,6
3220464,617680,0.320815,0,3,1,654110,982462,0,5
3239070,4314604,4.1176699999999995,9,10,10,654110,982462,258,204
3256427,1246690,0.21902399999999997,0,2,0,654110,982462,1,1
3274489,752242,2.58602,42,10,4,654110,982462,103,100
3276760,451885,0.9993340000000001,8,10,3,654110,982462,23,25
3287138,1378525,0.22667199999999998,0,10,0,654110,982462,5,5
3288260,2643302,0.41316800000000004,0,10,0,654110,982462,2,8
3316200,4834194,0.726306,19,10,6,654110,982462,17,16
3384759,614,0.219286,0,10,0,654110,982462,1,18
3384793,514,0.545682,0,10,0,654110,982462,26,9
3384804,512,0.15,0,3,1,654110,982462,4,0
3384836,353,0.15,0,3,0,654110,982462,5,0
3384879,272,0.33063899999999996,0,10,4,654110,982462,39,10
3384933,114,0.252842,27,10,1,654110,982462,27,2
3384939,74,0.15,0,2,0,654110,982462,2,0
3408204,2631862,1.83528,8,10,2,654110,982462,19,25
3417807,591,0.26087,10,10,1,654110,982462,20,10
3436643,1703649,0.590494,0,10,1,654110,982462,15,19
3439518,214,0.21065799999999998,0,5,0,654110,982462,3,2
3443113,5081072,71.7452,990,10,13,654110,982462,2158,3043
3457736,3478059,0.24395300000000003,0,2,0,654110,982462,0,2
3460715,2619572,0.290558,0,2,0,654110,982462,0,2
3500749,2857416,3.06529,0,10,3,654110,982462,234,117
3502339,3573087,0.187346,0,3,0,654110,982462,0,3
3525028,1497892,0.164417,0,2,0,654110,982462,0,2
3530377,700333,31.0252,158,10,2,654110,982462,684,645
3538503,372393,1.19383,0,10,1,654110,982462,5,34
3545509,5048140,5.73266,146,10,2,654110,982462,17,187
3556898,1881859,0.220279,0,1,0,654110,982462,0,1
3588112,3968113,0.21086799999999997,0,1,0,654110,982462,0,1
3609300,1299764,0.202552,0,3,0,654110,982462,1,3
3623938,4463602,9.34243,30,10,8,654110,982462,110,382
3624846,1487765,1.35732,7,10,2,654110,982462,33,50
3628186,1450309,0.731608,23,10,3,654110,982462,24,22
3638864,652383,0.18850799999999998,0,3,0,654110,982462,2,1
3659577,5293071,1256.49,15400,10,4,654110,982462,16,19722
3667664,3184791,1.0631,86,10,5,654110,982462,68,35
3687902,54,0.15,2,4,0,654110,982462,4,0
3714622,138,0.219752,0,3,0,654110,982462,1,2
3715676,5125936,0.164596,0,1,0,654110,982462,0,1
3717224,4717353,2.08106,0,10,3,654110,982462,78,83
3756292,4143823,1.5849799999999998,0,10,4,654110,982462,55,47
3818264,5162431,2.72823,5,10,4,654110,982462,21,56
3823955,4432787,18.7341,255,10,7,654110,982462,54,469
3840046,5258431,3.22056,24,10,1,654110,982462,31,121
3843538,1830737,0.293595,3,10,1,654110,982462,15,16
3870211,134883,1.53875,0,10,1,654110,982462,56,44
3877360,255,0.495864,0,2,1,654110,982462,6,2
3880571,1621740,0.157209,0,1,0,654110,982462,0,1
3906720,438924,6.98711,242,10,7,654110,982462,348,241
3930437,1931747,0.1755,0,1,1,1299235,6,0,1
3931677,4977446,0.360976,0,10,1,654110,982462,16,8
3978459,1439141,0.305183,0,7,4,654110,982462,0,8
4013465,3936237,1.32974,9,10,5,654110,982462,30,55
4037850,3,0.19927999999999998,0,9,0,654110,982462,4,5
4108701,567,0.34125,0,5,2,654110,982462,1,6
4108764,356,0.15,10,10,1,654110,982462,20,0
4110617,211,0.15,4,8,0,654110,982462,8,0
4116796,2634280,0.1925,0,1,0,654110,982462,0,1
4130239,424,2.2770200000000003,5,10,8,654110,982462,85,124
4134466,520,0.15,0,2,0,654110,982462,2,0
4135333,308280,28.0722,614,10,13,654110,982462,625,1017
4137348,805770,2.17516,0,10,2,654110,982462,38,80
4141039,4821258,0.2775,0,1,1,4141039,2,0,1
4146033,622,11.5539,0,10,0,654110,982462,5,10
4160618,2313166,7.15417,358,10,2,654110,982462,171,377
4177851,3406316,0.164417,0,2,0,654110,982462,0,2
4181354,4155652,9.11058,443,10,3,654110,982462,515,525
4181720,3308155,0.661475,0,5,2,654110,982462,0,11
4219907,1686371,1078.38,182,10,7,654110,982462,66,38011
4232187,375073,2.32344,20,10,7,654110,982462,298,84
4262176,2202436,3.06018,0,10,1,654110,982462,31,40
4264629,2167401,0.8205540000000001,0,10,1,654110,982462,27,7
4277850,3769196,10.0728,24,10,5,654110,982462,242,343
4313510,3761510,1.18851,343,10,0,654110,982462,106,72
4336723,4482903,0.18732000000000001,0,6,0,654110,982462,0,6
4357033,4323888,0.25625,0,2,2,654110,982462,0,2
4373511,4002833,0.373691,0,5,2,654110,982462,0,8
4390195,2167661,0.5744600000000001,0,10,0,654110,982462,34,13
4409555,2759316,0.572656,0,6,2,654110,982462,0,13
4422696,4820652,1.12847,0,10,2,654110,982462,32,27
4425980,510,0.15,0,10,0,654110,982462,14,0
4430191,609,0.15,0,1,0,226144,2,1,0
4431892,1637220,0.276967,0,10,2,654110,982462,25,7
4457416,2562131,0.832893,0,10,5,654110,982462,95,31
4478778,2112730,1.13696,0,10,2,654110,982462,21,19
4480572,4627108,0.17336,0,4,1,654110,982462,0,4
4498890,2391414,0.869761,9,10,4,654110,982462,16,32
4505451,2344503,0.157209,0,1,0,654110,982462,0,1
4516289,1778978,2.06367,317,10,2,654110,982462,201,133
4539023,3770306,0.674412,2,10,0,654110,982462,12,17
4542080,1094151,61.3033,2,10,1,654110,982462,60,2839
4592497,3365679,0.38042,0,10,1,654110,982462,13,9
4599249,1242563,2.6726799999999997,0,10,4,654110,982462,67,75
4635171,1303327,0.592619,0,10,3,654110,982462,0,19
4641099,521,0.556229,0,10,4,654110,982462,27,14
4644914,1244166,0.400994,0,4,2,654110,982462,0,6
4657096,447,3.22133,0,10,0,654110,982462,39,81
4687202,426,0.15,0,10,0,654110,982462,12,0
4687233,301,0.293054,0,8,2,654110,982462,5,5
4687297,1,0.15,0,10,0,4687297,1,0,0
4689470,2172268,0.861869,0,10,3,654110,982462,18,17
4690044,308447,0.45217700000000005,0,10,0,654110,982462,4,8
4690902,463,0.25356799999999996,0,2,0,300635,3,1,1
4696696,1769708,0.21860300000000002,0,2,0,654110,982462,0,2
4708319,4419948,0.17116199999999998,0,5,0,654110,982462,0,5
4713335,650,0.524146,3,10,2,654110,982462,22,24
4719333,60,0.522417,7,10,6,654110,982462,105,26
4729722,2368015,0.8444510000000001,0,10,2,654110,982462,7,20
4732662,2523323,1.0897,7,10,0,654110,982462,29,29
4742964,3920231,0.538875,0,10,1,654110,982462,24,16
4752279,750682,17.104,202,10,2,654110,982462,69,624
4757095,4152684,2.96192,12,10,6,654110,982462,143,74
4787334,540,0.545561,0,10,2,654110,982462,3,12
4794432,5293615,0.48611800000000005,0,10,5,654110,982462,0,18
4795038,582,0.157969,0,1,1,654110,982462,1,1
4797736,97326,22.3473,317,10,2,654110,982462,48,632
4809330,4153866,3.04089,2,10,5,654110,982462,91,77
4823649,2632420,0.21375,0,1,0,49900,3,0,1
4829937,3815113,1.9771900000000002,120,10,8,654110,982462,54,57
4837248,725615,0.446193,0,10,2,654110,982462,31,17
4864447,3419555,0.217768,0,7,0,654110,982462,0,7
4867350,1324899,1.53179,0,3,2,654110,982462,0,17
4877847,1227477,0.33276,0,1,1,654110,982462,0,1
4905466,5008651,0.677473,0,10,2,654110,982462,29,24
4945584,797634,6.73792,128,10,4,654110,982462,185,182
4957623,4877545,0.88751,0,10,2,654110,982462,19,17
4962763,778737,1.03914,24,10,2,654110,982462,35,33
4990780,233302,0.33307800000000004,0,2,0,654110,982462,0,3
5000173,3663015,0.36344899999999997,0,8,0,654110,982462,6,3
5014949,4987964,5.62866,341,10,2,654110,982462,30,505
5019577,3639498,14.0127,629,10,6,654110,982462,761,369
5037477,4292087,1.7239400000000002,11,10,2,654110,982462,65,56
5039414,402438,0.4792,0,10,1,654110,982462,0,14
5044479,5447510,0.602522,0,5,4,654110,982462,0,14
5081878,1975851,21.7737,159,10,5,654110,982462,0,702
5129256,185335,0.159113,0,1,0,654110,982462,0,1
5143036,841067,6.29542,167,10,1,654110,982462,125,283
5153709,1134854,6.4078,55,10,12,654110,982462,64,265
5155744,560525,0.357072,0,10,2,654110,982462,33,3
5212676,464339,0.1755,0,1,1,1299235,6,0,1
5220695,2321566,1.56659,0,10,4,654110,982462,28,47
5225875,461547,0.18899999999999997,0,3,0,654110,982462,0,3
5238126,1922301,0.18591400000000002,0,3,1,654110,982462,2,1
5239966,5231117,0.687738,0,9,2,654110,982462,0,12
5247736,4214296,0.611247,0,10,2,654110,982462,8,16
5269166,3714644,0.157209,0,1,0,654110,982462,0,1
5280120,1848163,0.812426,29,10,1,654110,982462,27,27
5285960,2879359,6.72842,48,10,4,654110,982462,97,248
5292764,3156836,12.7183,80,10,5,654110,982462,2185,929
5298893,507,0.15,0,4,0,654110,982462,4,0
5309573,557,1.71859,9,10,1,654110,982462,18,18
5310438,328,0.15,3,7,0,654110,982462,7,0
5312020,625,0.309004,0,10,1,654110,982462,18,8
5336322,4830821,0.724812,0,3,2,654110,982462,0,11
5355157,4871400,1.0821399999999999,10,10,0,654110,982462,18,10
5422854,150,0.396549,0,10,5,654110,982462,37,9
5426784,194,0.15,0,4,0,654110,982462,4,0
5438121,3733839,10.2449,216,10,7,654110,982462,420,371
5439718,3478502,2.66888,46,10,6,654110,982462,34,82
5453152,3626158,14.2128,101,10,4,654110,982462,479,578
5478072,90,0.15,0,9,0,654110,982462,9,0
5484324,1338088,0.17186300000000002,0,2,0,654110,982462,0,2
5493728,128,0.539317,0,10,0,654110,982462,22,23
5495653,1914202,0.363217,0,10,1,654110,982462,13,5
5501114,630,0.8387540000000001,3,10,1,654110,982462,9,9
5503514,24,0.15,0,1,0,654110,982462,1,0
5520800,152,0.15,0,10,0,654110,982462,14,0
5547728,1873489,0.157209,0,1,0,654110,982462,0,1
5576604,4533656,0.305373,0,4,0,654110,982462,0,4